timestamp,open,high,low,close,volume,trades
2020-01-01T00:00:00.000Z,131.25,133.35,127.4,128.5,151660983,72101
2020-01-02T00:00:00.000Z,128.5,132.85,128.05,130.35,102309549,60047
2020-01-03T00:00:00.000Z,130.35,130.35,126,126.8,108582421,59842
2020-01-04T00:00:00.000Z,126.8,135.15,125.55,134.25,194342032,94680
2020-01-05T00:00:00.000Z,134.25,136,132.45,134.25,99797019,49954
2020-01-06T00:00:00.000Z,134.25,138.65,134.15,135.4,140150336,71691
2020-01-07T00:00:00.000Z,135.4,144.7,134.8,144.2,188536917,95169
2020-01-08T00:00:00.000Z,144.2,145.45,138.8,142.85,161907782,86334
2020-01-09T00:00:00.000Z,142.85,148.15,136.45,140.55,179997661,104200
2020-01-10T00:00:00.000Z,140.55,141.45,135.25,137.8,126627468,70222
2020-01-11T00:00:00.000Z,137.8,145.45,135.3,144.95,147784298,84660
2020-01-12T00:00:00.000Z,144.95,148.35,142.2,142.55,138233052,76902
2020-01-13T00:00:00.000Z,142.55,146.8,141.9,146.75,108936306,55183
2020-01-14T00:00:00.000Z,146.75,147.35,142.05,143.65,103624889,48494
2020-01-15T00:00:00.000Z,143.65,170.75,143.65,166.1,407677673,179620
2020-01-16T00:00:00.000Z,166.1,172.65,159.2,166.55,332238458,140188
2020-01-17T00:00:00.000Z,166.55,167.75,158.2,164.2,198472854,98851
2020-01-18T00:00:00.000Z,164.2,174.5,162.3,169.65,287814765,150602
2020-01-19T00:00:00.000Z,169.65,179.3,165.1,174.45,277883376,151684
2020-01-20T00:00:00.000Z,174.45,178.3,161.5,167,230149247,127374
2020-01-21T00:00:00.000Z,167,169.15,160.5,166.6,147982045,74959
2020-01-22T00:00:00.000Z,166.6,172.1,160.55,169.3,128724360,69237
2020-01-23T00:00:00.000Z,169.3,171.35,165.75,167.8,88217124,53860
2020-01-24T00:00:00.000Z,167.8,167.95,158.85,162.55,158575326,86924
2020-01-25T00:00:00.000Z,162.55,164.45,155.45,162.35,173935310,86337
2020-01-26T00:00:00.000Z,162.35,162.6,157.5,160.25,118027482,64441
2020-01-27T00:00:00.000Z,160.25,167.9,159.25,167.65,125098590,72987
2020-01-28T00:00:00.000Z,167.65,171.85,165,170,167090672,89675
2020-01-29T00:00:00.000Z,170,176.7,170,176.15,174509254,102606
2020-01-30T00:00:00.000Z,176.15,179,173,173.5,138232308,89188
2020-01-31T00:00:00.000Z,173.5,186.95,170.75,184.85,205246603,119993
2020-02-01T00:00:00.000Z,184.85,185.75,175.25,179.8,184969716,97856
2020-02-02T00:00:00.000Z,179.8,184.55,179.05,183.55,123468282,72264
2020-02-03T00:00:00.000Z,183.55,193.5,179.15,188.1,216500673,115876
2020-02-04T00:00:00.000Z,188.1,195.5,186.75,189.7,183211136,106888
2020-02-05T00:00:00.000Z,189.7,191.5,184.65,188.35,158421201,89526
2020-02-06T00:00:00.000Z,188.35,208.25,187.8,204.4,259099540,152901
2020-02-07T00:00:00.000Z,204.4,216.9,201.7,213.2,292498810,175436
2020-02-08T00:00:00.000Z,213.2,224.5,213.2,223.35,252691321,188057
2020-02-09T00:00:00.000Z,223.35,228.55,213.55,223.45,253255299,152906
2020-02-10T00:00:00.000Z,223.45,231.3,223.2,228.95,155126254,113139
2020-02-11T00:00:00.000Z,228.95,229.85,216.65,223.2,224388392,135018
2020-02-12T00:00:00.000Z,223.2,239.9,218.3,238.05,251659167,147203
2020-02-13T00:00:00.000Z,238.05,276.8,238.1,266.6,478280218,262063
2020-02-14T00:00:00.000Z,266.6,279.7,254.4,268.8,483359566,288497
2020-02-15T00:00:00.000Z,268.8,288.4,260.6,286.5,340209266,226481
2020-02-16T00:00:00.000Z,286.5,289.85,261.6,265.05,362848075,247049
2020-02-17T00:00:00.000Z,265.05,274.1,238.3,258.9,424590733,323223
2020-02-18T00:00:00.000Z,258.9,268.8,242.05,268.15,468216685,309106
2020-02-19T00:00:00.000Z,268.15,287,259.75,283.65,420859743,236829
2020-02-20T00:00:00.000Z,283.65,287.45,247.8,258.75,370617273,209652
2020-02-21T00:00:00.000Z,258.75,264.2,245.65,257.6,336010894,194331
2020-02-22T00:00:00.000Z,257.6,268.95,254.6,265.85,187654591,121039
2020-02-23T00:00:00.000Z,265.85,267.7,256.5,262.5,124701873,95683
2020-02-24T00:00:00.000Z,262.5,276.95,261.9,276.05,164812449,112808
2020-02-25T00:00:00.000Z,276.05,278.4,256,265.65,256999866,163197
2020-02-26T00:00:00.000Z,265.65,266.3,245,246.8,318136951,196646
2020-02-27T00:00:00.000Z,246.8,250.2,214.35,224.05,445534535,283213
2020-02-28T00:00:00.000Z,224.05,238.2,209.65,228.15,444995244,265738
2020-02-29T00:00:00.000Z,228.15,234.8,213.15,227.5,365735598,238738
2020-03-01T00:00:00.000Z,227.5,233.6,217.35,217.65,167491797,136478
2020-03-02T00:00:00.000Z,217.65,228.5,212.45,217.75,258040988,177525
2020-03-03T00:00:00.000Z,217.75,234.5,215.95,232,202278226,142231
2020-03-04T00:00:00.000Z,232,233,220.3,223.85,211184550,138611
2020-03-05T00:00:00.000Z,223.85,228.8,220.5,224.75,153417310,109544
2020-03-06T00:00:00.000Z,224.75,234.8,224.7,228.6,192191759,129539
2020-03-07T00:00:00.000Z,228.6,246.35,227.75,245.85,222316102,138972
2020-03-08T00:00:00.000Z,245.85,253,236.55,237.95,237068110,161684
2020-03-09T00:00:00.000Z,237.95,237.9,195.95,199.85,448260724,266021
2020-03-10T00:00:00.000Z,199.85,208.8,190.05,202.8,508437701,313362
